edad,genero,ciudad,posicion,experiencia,nivel,tecnologia,salario,estado,contrato,idioma,tamaño_empresa
27,Male,Berlin,Software Engineer,5,Senior,Scala,78000,Full-time employee,Unlimited contract,English,1000+
26,Female,Munich,Data Scientist,6,Middle,Python,60000,Full-time employee,Unlimited contract,English,1000+
26,Male,Berlin,Software Engineer,8,Lead,Go,85000,Full-time employee,Unlimited contract,English,1000+
31,Female,Berlin,Otro,6,Middle,SQL,60000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Software Engineer,10,Senior,Scala,72000,Full-time employee,Unlimited contract,English,101-1000
43,Male,Berlin,Mobile Developer,5,Senior,Kotlin,72000,Full-time employee,Unlimited contract,English,1000+
33,Male,Berlin,Software Engineer,5,Middle,Python,65000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Software Engineer,9,Senior,C#,60000,Full-time employee,Unlimited contract,English,11-50
32,Female,Berlin,QA Engineer,10,Senior,Java,61000,Full-time employee,Unlimited contract,English,101-1000
24,Male,Berlin,Data Scientist,4,Senior,Python,73000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,DevOps,7,Lead,Kubernetes,78000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Data Scientist,4,Senior,Python,81000,Full-time employee,Unlimited contract,English,101-1000
33,Male,Munich,QA Engineer,5,Senior,Java,60000,Full-time employee,Unlimited contract,English,1000+
28,Male,Berlin,Software Engineer,8,Lead,PHP,80000,Full-time employee,Unlimited contract,English,101-1000
32,Male,Munich,Software Engineer,7,Senior,Kotlin,60000,Full-time employee,Unlimited contract,English,51-100
30,Male,Berlin,Backend Developer,8,Senior,Scala,80000,Full-time employee,Unlimited contract,English,1000+
26,Male,Munich,Backend Developer,7,Senior,Java,78000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Munich,Software Engineer,10,Senior,Java,68000,Full-time employee,Unlimited contract,English,1000+
38,Female,Munich,QA Engineer,6,Middle,Java,62000,Full-time employee,Unlimited contract,English,1000+
37,Male,Berlin,Software Engineer,10,Senior,PHP,55000,Full-time employee,Unlimited contract,English,11-50
25,Male,Munich,Software Engineer,3,Middle,Java,62000,Full-time employee,Unlimited contract,English,101-1000
36,Male,Berlin,Frontend Developer,12,Senior,JavaScript,72000,Full-time employee,Unlimited contract,English,up to 10
27,Male,Munich,QA Engineer,5,Senior,Swift,58000,Full-time employee,Unlimited contract,English,1000+
37,Male,Munich,Software Engineer,15,Senior,PHP,75000,Full-time employee,Unlimited contract,German,101-1000
26,Male,Munich,Data Scientist,3,Middle,Python,65000,Full-time employee,Unlimited contract,English,101-1000
33,Male,Frankfurt,Otro,6,Middle,Python,85000,Full-time employee,Unlimited contract,English,1000+
34,Male,Berlin,Frontend Developer,7,Senior,JavaScript,65000,Full-time employee,Unlimited contract,English,up to 10
33,Male,Berlin,Backend Developer,12,Lead,PHP,65000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Backend Developer,8,Senior,Scala,72000,Full-time employee,Unlimited contract,English,101-1000
24,Male,Munich,Software Engineer,5,Middle,C++,79000,Full-time employee,Unlimited contract,English,1000+
28,Male,Cologne,Otro,8,Senior,SQL,60000,Full-time employee,Unlimited contract,English,up to 10
31,Male,Munich,Backend Developer,11,Senior,PHP,80000,Full-time employee,Unlimited contract,English,1000+
28,Male,Munich,Mobile Developer,5,Senior,Swift,57000,Full-time employee,Unlimited contract,English,1000+
32,Female,Kempten,Fullstack Developer,10,Middle,C#,49000,Full-time employee,Unlimited contract,Otro,51-100
28,Male,Berlin,Software Engineer,6,Senior,Java,65000,Full-time employee,Unlimited contract,English,11-50
33,Male,Berlin,Mobile Developer,6,Middle,Swift,63000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Software Engineer,9,Senior,C#,60000,Full-time employee,Unlimited contract,English,11-50
30,Male,Munich,Frontend Developer,6,Senior,JavaScript,75000,Full-time employee,Unlimited contract,English,51-100
37,Male,Munich,Backend Developer,12,Senior,PHP,62000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Software Engineer,10,Lead,Python,78000,Full-time employee,Unlimited contract,English,101-1000
25,Male,Munich,Backend Developer,5,Senior,Java,75000,Full-time employee,Unlimited contract,English,101-1000
36,Male,Berlin,Backend Developer,19,Senior,PHP,69000,Full-time employee,Unlimited contract,English,101-1000
40,Male,Berlin,Frontend Developer,7,Middle,JavaScript,54000,Full-time employee,Unlimited contract,English,11-50
35,Male,Munich,Software Engineer,13,Senior,Java,80000,Full-time employee,Unlimited contract,English,101-1000
42,Male,Berlin,Software Engineer,20,Senior,Ruby,80000,Full-time employee,Unlimited contract,German,51-100
34,Male,Berlin,QA Engineer,10,Senior,Java,75000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Backend Developer,6,Senior,Ruby,75000,Full-time employee,Unlimited contract,English,101-1000
35,Male,Berlin,Software Engineer,12,Senior,C#,70000,Full-time employee,Unlimited contract,English,1000+
28,Male,Hamburg,Software Engineer,7,Senior,Scala,80000,Full-time employee,Unlimited contract,English,101-1000
26,Male,Münster,Data Scientist,6,Junior,Python,48000,Full-time employee,Unlimited contract,German,1000+
35,Male,Berlin,Frontend Developer,4,Middle,JavaScript,50000,Full-time employee,Unlimited contract,English,101-1000
31,Female,Munich,QA Engineer,7,Senior,Java,68000,Full-time employee,Unlimited contract,English,1000+
35,Male,Frankfurt,Software Engineer,12,Senior,Java,66000,Full-time employee,Unlimited contract,German,51-100
25,Male,Berlin,Backend Developer,4,Middle,Python,60000,Full-time employee,Unlimited contract,English,11-50
42,Female,Berlin,QA Engineer,20,Middle,Python,55000,Full-time employee,Unlimited contract,English,1000+
40,Female,Munich,Software Engineer,20,Middle,Java,54000,Full-time employee,Unlimited contract,German,101-1000
37,Male,Berlin,Software Engineer,8,Junior,Java,60000,Full-time employee,Unlimited contract,English,51-100
33,Male,Munich,Software Engineer,10,Senior,Java,75000,Full-time employee,Unlimited contract,English,101-1000
38,Male,Cologne,Software Engineer,11,Senior,PHP,55000,Full-time employee,Unlimited contract,English,101-1000
36,Female,Munich,Backend Developer,5,Middle,PHP,60000,Full-time employee,Unlimited contract,English,101-1000
32,Male,Frankfurt,Otro,10,Senior,Python,68500,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Frontend Developer,10,Senior,JavaScript,71060,Full-time employee,Unlimited contract,English,51-100
33,Female,Berlin,QA Engineer,6,Middle,Java,60000,Full-time employee,Unlimited contract,English,101-1000
28,Male,Munich,Backend Developer,6,Senior,Java,70000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Software Engineer,9,Senior,Python,90000,Full-time employee,Unlimited contract,English,1000+
28,Male,Berlin,Mobile Developer,5,Lead,Swift,70800,Full-time employee,Unlimited contract,English,11-50
29,Male,Berlin,Software Engineer,8,Middle,PHP,55000,Full-time employee,Unlimited contract,English,11-50
33,Male,Berlin,Backend Developer,5,Middle,Java,66000,Full-time employee,Unlimited contract,English,101-1000
33,Male,Berlin,ML Engineer,10,Middle,Python,62000,Full-time employee,Unlimited contract,English,51-100
34,Male,Berlin,Software Engineer,14,Lead,Java,95000,Full-time employee,Unlimited contract,English,1000+
36,Male,Berlin,Backend Developer,18,Senior,PHP,65000,Full-time employee,Unlimited contract,English,101-1000
32,Male,Berlin,Software Engineer,11,Lead,Kotlin,80000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Munich,Mobile Developer,8,Senior,Kotlin,66000,Full-time employee,Unlimited contract,English,1000+
35,Male,Berlin,Product Manager,10,Senior,PHP,90000,Full-time employee,Unlimited contract,English,101-1000
26,Male,Berlin,Mobile Developer,6,Senior,Kotlin,70000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Mannheim ,Otro,10,Senior,C,45000,Full-time employee,Temporary contract,English,11-50
30,Female,Berlin,QA Engineer,5,Middle,Python,50000,Full-time employee,Unlimited contract,German,101-1000
35,Female,Berlin,Software Engineer,15,Senior,C#,76000,Full-time employee,Unlimited contract,German,1000+
32,Male,Munich,Fullstack Developer,9,Senior,Java,70000,Full-time employee,Unlimited contract,English,11-50
29,Male,Berlin,Software Engineer,8,Senior,Go,70000,Full-time employee,Unlimited contract,English,1000+
30,Male,Rosenheim,Software Engineer,9,Middle,Java,63000,Full-time employee,Unlimited contract,German,101-1000
35,Male,Berlin,ML Engineer,10,Lead,Scala,96000,Full-time employee,Unlimited contract,English,11-50
29,Male,Berlin,Software Engineer,7,Senior,Python,64000,Full-time employee,Unlimited contract,English,101-1000
30,Female,Munich,Mobile Developer,10,Senior,Swift,65000,Full-time employee,Unlimited contract,English,1000+
25,Male,Berlin,Software Engineer,6,Middle,Java,61500,Full-time employee,Unlimited contract,English,1000+
43,Male,Berlin,Software Engineer,20,Senior,Python,79000,Full-time employee,Unlimited contract,English,1000+
38,Male,Berlin,Software Engineer,16,Senior,Python,65000,Full-time employee,Unlimited contract,English,1000+
26,Male,Berlin,Software Engineer,5,Middle,Scala,63000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Munich,Software Engineer,12,Lead,Python,95000,Full-time employee,Unlimited contract,English,11-50
27,Male,Berlin,Backend Developer,5,Middle,Java,65000,Full-time employee,Unlimited contract,English,1000+
30,Male,Berlin,Mobile Developer,3,Senior,Swift,58000,Full-time employee,Unlimited contract,English,11-50
34,Male,Berlin,Data Scientist,5,Middle,Python,65000,Full-time employee,Unlimited contract,English,101-1000
36,Female,Berlin,QA Engineer,14,Lead,Java,69000,Full-time employee,Unlimited contract,English,11-50
27,Male,Berlin,Backend Developer,5,Middle,Java,65000,Full-time employee,Unlimited contract,English,1000+
32,Male,Stuttgart,QA Engineer,9,Senior,Java,60000,Full-time employee,Unlimited contract,German,1000+
33,Male,Boeblingen,DevOps,14,Senior,Go,70000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Backend Developer,10,Middle,PHP,56000,Full-time employee,Unlimited contract,English,1000+
35,Male,Berlin,Software Engineer,15,Senior,Go,70000,Full-time employee,Unlimited contract,English,51-100
24,Male,Boeblingen,Otro,1,Junior,Java,48000,Full-time employee,Unlimited contract,English,11-50
25,Male,Stuttgart,Backend Developer,4,Middle,Java,60000,Full-time employee,Unlimited contract,German,101-1000
29,Male,Berlin,Mobile Developer,8,Senior,Kotlin,65000,Full-time employee,Unlimited contract,English,101-1000
32,Male,Düsseldorf,Software Engineer,11,Senior,.NET,60000,Full-time employee,Unlimited contract,English,1000+
24,Male,Munich,Software Engineer,3,Middle,NodeJS,58000,Full-time employee,Unlimited contract,English,1000+
24,Female,Stuttgart,Software Engineer,2,Middle,Swift,55200,Full-time employee,Unlimited contract,English,11-50
25,Male,Munich,ML Engineer,1,Middle,Python,65000,Full-time employee,Unlimited contract,English,1000+
28,Male,Stuttgart,Software Engineer,8,Senior,C++,67200,Full-time employee,Unlimited contract,English,1000+
30,Male,Munich,Software Engineer,7,Senior,C++,100000,Full-time employee,Unlimited contract,English,1000+
26,Female,Berlin,Software Engineer,6,Senior,.NET,65000,Full-time employee,Unlimited contract,English,101-1000
31,Female,Stuttgart,Data Scientist,4,Middle,R,65000,Full-time employee,Unlimited contract,German,1000+
31,Male,Munich,Software Engineer,9,Middle,C++,92500,Full-time employee,Unlimited contract,English,1000+
29,Female,Stuttgart,QA Engineer,6,Middle,JavaScript,54000,Full-time employee,Unlimited contract,English,101-1000
33,Male,Munich,Backend Developer,15,Lead,Scala,100000,Full-time employee,Unlimited contract,English,11-50
26,Male,Munich,ML Engineer,2,Junior,Python,58000,Full-time employee,Unlimited contract,German,101-1000
34,Male,Berlin,Software Engineer,14,Senior,C#,72000,Full-time employee,Unlimited contract,English,101-1000
37,Male,Berlin,Otro,12,Head,Python,90000,Full-time employee,Unlimited contract,English,11-50
29,Male,Düsseldorf,Otro,1,Junior,Python,45000,Full-time employee,Unlimited contract,German,1000+
39,Male,Munich,Software Engineer,12,Lead,PHP,108000,Self-employed (freelancer),Unlimited contract,English,up to 10
29,Male,Munich,Backend Developer,8,Senior,Java,95000,Full-time employee,Unlimited contract,English,1000+
36,Male,Nürnberg,Frontend Developer,1,Junior,JavaScript,37500,Full-time employee,Temporary contract,German,up to 10
33,Male,Berlin,Otro,10,Middle,Swift,67000,Full-time employee,Unlimited contract,English,1000+
31,Male,Berlin,Data Engineer,9,Senior,Python,81000,Full-time employee,Unlimited contract,English,101-1000
38,Male,Berlin,Backend Developer,11,Senior,JavaScript,35000,Full-time employee,Unlimited contract,English,up to 10
30,Male,Ansbach,Software Engineer,4,Junior,PHP,42000,Full-time employee,Unlimited contract,English,101-1000
33,Male,Berlin,Backend Developer,12,Senior,PHP,67000,Full-time employee,Unlimited contract,English,101-1000
43,Male,Berlin,Backend Developer,5,Middle,Java,64000,Full-time employee,Unlimited contract,English,101-1000
32,Female,Stuttgart,Otro,2,Junior,Java,52000,Full-time employee,Unlimited contract,English,1000+
34,Male,Leipzig,Mobile Developer,14,Senior,Kotlin,60000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Backend Developer,9,Senior,Java,85000,Full-time employee,Unlimited contract,English,1000+
33,Female,Berlin,QA Engineer,9,Middle,Java,57000,Full-time employee,Unlimited contract,English,101-1000
40,Male,Munich,QA Engineer,18,Lead,Java,78000,Full-time employee,Unlimited contract,German,1000+
38,Male,Munich,Backend Developer,12,Senior,Java,70000,Full-time employee,Unlimited contract,German,101-1000
27,Male,Berlin,Backend Developer,7,Senior,Go,72000,Full-time employee,Unlimited contract,English,11-50
38,Male,Munich,ML Engineer,10,Lead,Python,92000,Full-time employee,Unlimited contract,English,51-100
42,Male,Berlin,ML Engineer,20,Senior,Python,80000,Full-time employee,Unlimited contract,German,1000+
38,Male,Hamburg,Software Engineer,12,Senior,Java,73000,Full-time employee,Unlimited contract,English,51-100
30,Male,Berlin,Software Engineer,11,Senior,Kotlin,55000,Full-time employee,Unlimited contract,English,11-50
32,Male,Berlin,Software Engineer,9,Lead,JavaScript,90000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Berlin,Otro,10,Senior,Python,85000,Full-time employee,Unlimited contract,English,1000+
25,Male,Stuttgart,Backend Developer,7,Senior,PHP,60000,Full-time employee,Unlimited contract,English,11-50
32,Male,Berlin,Software Engineer,12,Senior,Swift,66800,Full-time employee,Unlimited contract,English,51-100
33,Male,Munich,Otro,10,Senior,Java,70000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Berlin,ML Engineer,12,Senior,Python,90000,Full-time employee,Unlimited contract,English,1000+
28,Male,Berlin,Backend Developer,7,Senior,PHP,70000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Backend Developer,7,Senior,Ruby,72000,Full-time employee,Unlimited contract,English,11-50
34,Male,Berlin,DevOps,12,Senior,Java,70000,Full-time employee,Unlimited contract,English,101-1000
35,Male,Berlin,Otro,10,Senior,PHP,63500,Full-time employee,Unlimited contract,English,101-1000
34,Male,Berlin,Software Engineer,12,Lead,.NET,78000,Full-time employee,Unlimited contract,German,1000+
38,Male,Berlin,Software Engineer,13,Lead,Java,89570,Full-time employee,Unlimited contract,English,1000+
34,Female,Berlin,Software Engineer,9,Senior,Kotlin,78000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Mobile Developer,7,Senior,Swift,80000,Full-time employee,Unlimited contract,English,1000+
37,Male,Berlin,Software Engineer,15,Senior,Scala,85000,Full-time employee,Unlimited contract,English,1000+
30,Male,Munich,Frontend Developer,9,Middle,TypeScript,66000,Full-time employee,Unlimited contract,English,101-1000
26,Male,Frankfurt,Otro,4,Middle,JavaScript,65000,Full-time employee,Unlimited contract,German,101-1000
33,Male,Berlin,Software Engineer,14,Senior,PHP,68000,Full-time employee,Unlimited contract,English,51-100
27,Male,Tuttlingen,Software Engineer,4,Junior,C#,46000,Full-time employee,Unlimited contract,German,up to 10
38,Male,Stuttgart,Software Engineer,15,Senior,C#,56400,Full-time employee,Unlimited contract,English,11-50
32,Male,Munich,Backend Developer,11,Senior,PHP,81200,Full-time employee,Unlimited contract,English,1000+
26,Male,Frankfurt,Backend Developer,7,Senior,Java,65000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Software Engineer,12,Senior,Go,75000,Full-time employee,Unlimited contract,English,101-1000
33,Male,Hamburg,Software Engineer,10,Senior,Ruby,75000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Berlin,Software Engineer,10,Senior,C++,76000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Munich,Software Engineer,7,Senior,TypeScript,80000,Full-time employee,Unlimited contract,English,11-50
33,Male,Munich,Software Engineer,10,Senior,C#,78000,Full-time employee,Unlimited contract,German,51-100
32,Male,Berlin,Backend Developer,4,Senior,Ruby,65000,Full-time employee,Unlimited contract,English,51-100
29,Male,Berlin,Backend Developer,8,Middle,Go,65000,Full-time employee,Unlimited contract,English,101-1000
28,Male,Munich,Software Engineer,5,Senior,C++,67000,Self-employed (freelancer),Unlimited contract,English,up to 10
25,Male,Hamburg,Data Scientist,2,Middle,Python,48000,Full-time employee,Unlimited contract,German,11-50
32,Male,Munich,Otro,9,Senior,ABAP,70800,Full-time employee,Unlimited contract,German,1000+
26,Male,Frankfurt,Software Engineer,3,Middle,Python,48000,Full-time employee,Unlimited contract,English,51-100
29,Male,Munich,Mobile Developer,8,Senior,Java,65400,Full-time employee,Unlimited contract,English,11-50
40,Male,Berlin,Backend Developer,18,Senior,PHP,60000,Full-time employee,Unlimited contract,English,1000+
27,Male,Munich,Software Engineer,5,Senior,JavaScript,65000,Full-time employee,Unlimited contract,English,51-100
30,Male,Berlin,DevOps,9,Lead,Kubernetes,90000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Hamburg,Software Engineer,6,Middle,.NET,60000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Munich,Otro,8,Senior,C++,73000,Full-time employee,Unlimited contract,English,1000+
37,Male,Heidelberg,Software Engineer,15,Senior,ABAP,67500,Full-time employee,Unlimited contract,English,1000+
28,Male,Berlin,Otro,6,Middle,Kubernetes,66000,Full-time employee,Unlimited contract,English,1000+
28,Female,Berlin,Software Engineer,8,Lead,JavaScript,80000,Full-time employee,Unlimited contract,English,101-1000
28,Male,Stuttgart,Backend Developer,5,Middle,Java,55000,Full-time employee,Unlimited contract,German,101-1000
33,Male,Berlin,Software Engineer,13,Senior,Ruby,75000,Full-time employee,Unlimited contract,English,1000+
29,Male,Berlin,Backend Developer,11,Senior,Python,85000,Full-time employee,Unlimited contract,English,51-100
31,Male,Munich,Software Engineer,11,Middle,Python,75000,Full-time employee,Unlimited contract,English,1000+
32,Male,Berlin,Software Engineer,12,Senior,Java,83000,Full-time employee,Unlimited contract,English,1000+
33,Male,Berlin,Software Engineer,10,Middle,Swift,65000,Full-time employee,Unlimited contract,English,1000+
32,Male,Berlin,Backend Developer,5,Middle,Ruby,72000,Full-time employee,Unlimited contract,English,11-50
34,Male,Berlin,Software Engineer,15,Lead,Java,80000,Full-time employee,Unlimited contract,English,1000+
41,Male,Berlin,Software Engineer,19,Lead,Python,95500,Full-time employee,Unlimited contract,English,1000+
35,Male,Cologne,Software Engineer,14,Senior,C++,72000,Full-time employee,Unlimited contract,English,101-1000
26,Male,Hamburg,Software Engineer,7,Senior,TypeScript,72000,Full-time employee,Unlimited contract,German,101-1000
27,Male,Berlin,Mobile Developer,3,Middle,Kotlin,65000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Dusseldorf,Software Engineer,7,Senior,C++,50400,Full-time employee,Unlimited contract,English,1000+
25,Male,Berlin,Backend Developer,5,Middle,Java,80000,Full-time employee,Unlimited contract,English,1000+
35,Male,Berlin,QA Engineer,11,Senior,Java,74400,Full-time employee,Unlimited contract,English,101-1000
37,Male,Hamburg,Software Engineer,15,Senior,Java,70000,Full-time employee,Temporary contract,English,11-50
32,Female,Cologne,Data Scientist,4,Senior,Python,85000,Full-time employee,Unlimited contract,English,1000+
23,Male,Berlin,Software Engineer,4,Middle,JavaScript,70500,Full-time employee,Unlimited contract,English,1000+
39,Male,Stuttgart,Software Engineer,11,Lead,PHP,75000,Full-time employee,Unlimited contract,English,101-1000
27,Female,Berlin,Data Scientist,3,Middle,Python,58000,Full-time employee,Unlimited contract,English,51-100
35,Male,Helsinki,Backend Developer,11,Senior,Python,66000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Backend Developer,10,Senior,Ruby,80000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Munich,Mobile Developer,8,Lead,Swift,75000,Full-time employee,Unlimited contract,English,11-50
24,Male,Frankfurt,Frontend Developer,3,Middle,JavaScript,44000,Full-time employee,Unlimited contract,English,51-100
28,Male,Würzburg,Software Engineer,8,Senior,Java,75000,Full-time employee,Unlimited contract,English,101-1000
28,Male,Berlin,Backend Developer,9,Senior,PHP,60000,Full-time employee,Unlimited contract,English,11-50
37,Male,Berlin,Software Engineer,8,Senior,Python,76900,Full-time employee,Unlimited contract,English,101-1000
30,Male,Munich,Frontend Developer,4,Middle,JavaScript,55000,Full-time employee,Unlimited contract,English,1000+
31,Male,Berlin,Software Engineer,4,Lead,Java,95000,Full-time employee,Unlimited contract,English,1000+
28,Female,Berlin,Software Engineer,3,Middle,JavaScript,60000,Full-time employee,Unlimited contract,English,101-1000
31,Female,Munich,Software Engineer,2,Middle,Java,58000,Full-time employee,Unlimited contract,German,1000+
34,Male,Berlin,Mobile Developer,9,Senior,Kotlin,72000,Full-time employee,Unlimited contract,English,1000+
24,Male,Berlin,Backend Developer,4,Middle,PHP,46000,Full-time employee,Unlimited contract,English,51-100
39,Male,Berlin,DevOps,15,Senior,Python,70000,Full-time employee,Unlimited contract,English,101-1000
42,Male,Den Haag,Backend Developer,20,Senior,.NET,75000,Full-time employee,Unlimited contract,English,101-1000
32,Female,Berlin,Mobile Developer,7,Senior,Kotlin,63000,Full-time employee,Unlimited contract,English,1000+
23,Male,Berlin,Mobile Developer,3,Lead,Swift,65000,Full-time employee,Unlimited contract,English,51-100
27,Male,Amsterdam,ML Engineer,4,Middle,Python,62000,Full-time employee,Unlimited contract,English,1000+
32,Male,Munich,Software Engineer,10,Senior,Java,88000,Full-time employee,Unlimited contract,English,1000+
26,Male,Berlin,Otro,7,Middle,SQL,60000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Software Engineer,5,Middle,PHP,56000,Full-time employee,Unlimited contract,English,11-50
30,Male,Hamburg,Frontend Developer,7,Senior,JavaScript,55000,Full-time employee,Unlimited contract,English,101-1000
38,Male,Berlin,Mobile Developer,10,Senior,Swift,70000,Full-time employee,Unlimited contract,English,1000+
24,Male,Berlin,Backend Developer,3,Junior,C#,48000,Full-time employee,Temporary contract,English,1000+
24,Male,Tallinn,Software Engineer,3,Junior,Java,30000,Full-time employee,Unlimited contract,English,11-50
34,Female,Berlin,QA Engineer,6,Senior,Ruby,67500,Full-time employee,Unlimited contract,English,1000+
30,Male,Utrecht,Data Scientist,2,Middle,Python,48000,Full-time employee,Temporary contract,English,1000+
27,Female,Munich,Frontend Developer,2,Middle,JavaScript,64000,Full-time employee,Unlimited contract,English,101-1000
